tv,emisora,mdp_6_meses,fondos_que_lo_tienen,clase_propuesta,nombre_del_etf
1ISP,KSA,320.0,2,,
1ISP,HSXD,312.0,1,,
1ISP,IGV,311.0,15,,
1ISP,SPUU,309.0,3,,
1ISP,VECP,306.0,1,,
1ISP,BBRE,305.0,8,,
1ISP,FLXK,305.0,1,,
1ISP,CNYA,304.0,8,,
1ISP,VOX,302.0,3,,
1ISP,WSML,301.0,1,,
1ISP,LEMA,300.0,2,,
1ISP,HUKX,299.0,8,,
1ISP,DTMXX,299.0,3,,
1ISP,CQQQ,298.0,4,,
1ISP,XLVS,294.0,1,,
1ISP,VNQ,292.0,2,,
1ISP,IMVU,289.0,1,,
1ISP,JMAB,286.0,1,,
1ISP,IEAU,286.0,1,,
1ISP,XBI,282.0,1,,
1ISP,VDTA,281.0,3,,
1ISP,USPX,279.0,1,,
1ISP,IJH,278.0,4,,
1ISP,SPEM,273.0,12,,
1ISP,STIP,270.0,1,,
1ISP,RDVY,258.0,5,,
1ISP,SEMI,258.0,1,,
1ISP,IYJ,253.0,1,,
1ISP,ESIF,249.0,1,,
1ISP,IYC,244.0,1,,
1ISP,IYH,243.0,2,,
1ISP,SPY4,240.0,2,,
1ISP,KRMA,239.0,1,,
1ISP,SXLV,239.0,1,,
1ISP,SXLF,237.0,2,,
1ISP,HEAL,235.0,2,,
1ISP,THD,231.0,3,,
1ISP,CSUK,229.0,4,,
1ISP,D28A,228.0,1,,
1ISP,CIBR,227.0,8,,
1ISP,MOAT,222.0,1,,
1ISP,FLXC,220.0,1,,
1ISP,CEUU,217.0,2,,
1ISP,CIBRU,216.0,1,,
1ISP,TBILLX,212.0,2,,
1ISP,SXLE,208.0,1,,
1ISP,IAUS,208.0,1,,
1ISP,RUSG1,208.0,1,,
1ISP,EXS1,205.0,1,,
1ISP,BBAX,204.0,1,,
1ISP,SQQQ,203.0,1,,
1ISP,PR1T,202.0,1,,
1ISP,XLU,202.0,7,,
1ISP,MEXS,201.0,8,,
